AICM Control ID,Control Domain,Control Title,Control Type,Relevance,AegisGate Features,Implementation Evidence
STA-07,"Supply Chain Management, Transparency, and Accountability - STA",SSRM Control Implementation,Cloud & AI Related,partial,compliance; vendor_risk,SSRM control implementation: compliance scanning (pkg/compliance/module.go — 31 frameworks) validates supplier controls; vendor risk module (pkg/compliance/vendor_risk.go) tracks implementation across 8 risk dimensions; compliance reports (pkg/compliance/mapping/report.go) document findings.
STA-08,"Supply Chain Management, Transparency, and Accountability - STA",Supply Chain Inventory,Cloud & AI Related,full,aibom,"AIBOM (pkg/aibom/generator.go — CycloneDX 1.6) generates complete AI supply chain inventory: 5 protocol pillars (HTTP, MCP, A2A, ACP, ANP — pkg/aibom/types.go), models, prompts (SHA-256 hashed), RAG corpora (SHA-256 hashed). v0.1 requires explicit struct population; auto-discovery from live config planned for v0.2. Signed via attestation envelopes (pkg/aibom/sign.go) with ECDSA P-256."
STA-09,"Supply Chain Management, Transparency, and Accountability - STA",Service Bill of Material (BOM),AI-Specific,full,aibom,"AIBOM is a CycloneDX 1.6 SBOM extended for AI components (pkg/aibom/doc.go — exactly this control's requirement). Generator (pkg/aibom/generator.go), signer (pkg/aibom/sign.go), verifier (pkg/aibom/verify.go) all implemented. v0.1 scope: explicit struct population required; v0.2 will add auto-discovery from live platform config."
STA-10,"Supply Chain Management, Transparency, and Accountability - STA",Supply Chain Risk Management,Cloud & AI Related,full,vendor_risk; compliance; aibom,Supply chain risk management: vendor risk module (pkg/compliance/vendor_risk.go — 8 risk dimensions) + AIBOM (pkg/aibom/generator.go — CycloneDX 1.6 inventory) + compliance scanning (pkg/compliance/module.go — 31 frameworks) provide comprehensive supply chain risk assessment.
STA-11,"Supply Chain Management, Transparency, and Accountability - STA",Primary Service and Contractual Agreement,Cloud & AI Related,na,N/A,Primary service and contractual agreement is contractual
STA-12,"Supply Chain Management, Transparency, and Accountability - STA",Supply Chain Agreement Review,Cloud & AI Related,na,N/A,Supply chain agreement review is contractual
STA-13,"Supply Chain Management, Transparency, and Accountability - STA",Supply Chain Compliance Assessment,Cloud & AI Related,partial,compliance; vendor_risk,Supply chain compliance assessment: compliance scanning (pkg/compliance/module.go — 31 frameworks with CheckFunc implementations) assesses supplier compliance; vendor risk (pkg/compliance/vendor_risk.go) evaluates provider security posture; compliance reports (pkg/compliance/mapping/report.go) document findings.
STA-14,"Supply Chain Management, Transparency, and Accountability - STA",Supply Chain Service Agreement Compliance,Cloud & AI Related,na,N/A,Supply chain service agreement compliance is contractual
STA-15,"Supply Chain Management, Transparency, and Accountability - STA",Supply Chain Governance Review,Cloud & AI Related,na,N/A,Supply chain governance review is organizational
STA-16,"Supply Chain Management, Transparency, and Accountability - STA",Supply Chain Data Security Assessment,Cloud & AI Related,partial,aibom; response_guard; scanner,Supply chain data security: AIBOM (pkg/aibom/generator.go) documents data flows across 5 protocol pillars; scanner (pkg/scanner/scanner.go — 216 patterns) and response guard (pkg/response/guard.go — PII/secrets) protect data across supply chain; attestation (pkg/attestation/attestation.go) ensures integrity.
TVM-01,Threat & Vulnerability Management - TVM,Threat and Vulnerability Management Policy and Procedures,Cloud & AI Related,partial,scanner; atlas; ml,"Threat and vulnerability management policy enforced through detection pipeline (pkg/scanner/scanner.go, pkg/atlas/detector.go, pkg/ml/detector.go); AegisGate implements technical threat detection, not organizational TVM policy. 216 patterns + ATLAS + ML provide comprehensive threat coverage."
TVM-02,Threat & Vulnerability Management - TVM,Malware and Malicious Instructions Protection Policy and Procedures,Cloud & AI Related,full,scanner; ml; response_guard,"Malicious instructions protection: 216 regex patterns (pkg/scanner/patterns.go) detect prompt injection, jailbreaks, malicious instructions; ATLAS detector (pkg/atlas/detector.go) identifies AI-specific attack techniques; ML classifier (pkg/ml/detector.go — CharCNN-BiLSTM, ONNX) catches novel threats."
TVM-03,Threat & Vulnerability Management - TVM,Vulnerability Identification,Cloud & AI Related,full,cve; scanner; compliance,"Vulnerability identification: CVE feed (pkg/cve), detection patterns, and compliance scanning identify vulnerabilities in AI systems"
TVM-04,Threat & Vulnerability Management - TVM,Threat Analysis and Modelling,AI-Specific,full,atlas; scanner; ml,Threat analysis and modelling: MITRE ATLAS implementation (pkg/atlas) provides AI-specific threat modeling; 216 patterns + ML detector analyze threats
TVM-05,Threat & Vulnerability Management - TVM,Detection Updates,Cloud & AI Related,full,regfeed; scanner; atlas,Detection updates: regulatory feed (pkg/compliance/regfeed.go) updates compliance rules; scanner patterns and ATLAS techniques are version-controlled and updatable
TVM-06,Threat & Vulnerability Management - TVM,External Library Vulnerabilities,Cloud & AI Related,partial,cve; compliance,External library vulnerabilities: CVE feed (pkg/cve/feed.go) tracks external vulnerabilities; compliance scanning (pkg/compliance/module.go) checks dependency security; AIBOM (pkg/aibom/generator.go — CycloneDX 1.6) documents supply chain components for vulnerability tracking.
TVM-07,Threat & Vulnerability Management - TVM,Penetration Testing,Cloud & AI Related,partial,scanner; ml_adversarial,Penetration testing: adversarial robustness testing (pkg/ml/adversarial.go — PGD/FGSM attacks) serves as AI-specific penetration testing; evasion resistance (pkg/ml/evasion_resistance.go) validates detection model resilience against adversarial evasion attempts.
TVM-08,Threat & Vulnerability Management - TVM,Vulnerability Remediation Schedule,Cloud & AI Related,partial,incident; compliance,Vulnerability remediation schedule: incident engine (pkg/incident/engine.go) tracks remediation; compliance scanning (pkg/compliance/module.go — Remediations field in FrameworkAssessment) identifies pending fixes; SOAR (pkg/soar/soar.go) automates remediation workflows.
TVM-09,Threat & Vulnerability Management - TVM,Vulnerability Prioritization,Cloud & AI Related,partial,incident; scanner; compliance,Vulnerability prioritization: detection severity levels (pkg/scanner/patterns.go — Critical/High/Medium/Low/Info) prioritize vulnerabilities; incident rules (pkg/incident/rules.go) triage by severity; compliance scanning (pkg/compliance/module.go — ControlCheckResult with Severity) ranks control gaps.
TVM-10,Threat & Vulnerability Management - TVM,Threat Response,Cloud & AI Related,full,incident; soar; atlas,Threat response: incident engine + SOAR automate threat response; ATLAS enrichment (pkg/incident/atlas_enrichment.go) provides threat context
TVM-11,Threat & Vulnerability Management - TVM,Vulnerability Management Reporting,Cloud & AI Related,partial,reporting; compliance; incident,Vulnerability management reporting: compliance reports (pkg/compliance/mapping/report.go) and incident metrics (pkg/incident/engine.go) provide vulnerability reporting; Prometheus metrics (pkg/metrics/metrics.go) expose operational data; evidence packages (pkg/evidence/builder.go) provide auditor-ready reports.
TVM-12,Threat & Vulnerability Management - TVM,Vulnerability Management Metrics,Cloud & AI Related,partial,metrics; reporting,"Vulnerability management metrics: detection metrics (pkg/metrics/metrics.go — aegisgate_ prefixed Prometheus metrics), incident metrics (pkg/incident/engine.go — response times, resolution rates), and compliance scores (pkg/compliance/module.go — AssessmentSummary with Score) provide VM metrics."
TVM-13,Threat & Vulnerability Management - TVM,Guardrails,AI-Specific,full,mcp_guardrails; rbac; toolauth; response_guard; scanner,"Guardrails: comprehensive guardrail system — MCP guardrails (pkg/mcpserver/guardrails.go — rate/session/tool limits, stdio validation), RBAC (pkg/rbac/manager.go — 4 agent + 4 user roles), tool authorization (pkg/toolauth/matrix.go — risk matrix with approval), response guard (pkg/response/guard.go — PII/secrets/toxicity/hallucination)."
UEM-01,Universal Endpoint Management - UEM,Endpoint Devices Policy and Procedures,Cloud & AI Related,na,N/A,Endpoint device policy is organizational
UEM-02,Universal Endpoint Management - UEM,Application and Service Approval,Cloud & AI Related,na,N/A,Application/service approval for endpoints — not AegisGate scope
UEM-03,Universal Endpoint Management - UEM,Compatibility,Cloud & AI Related,na,N/A,Endpoint compatibility — not AegisGate scope
UEM-04,Universal Endpoint Management - UEM,Endpoint Inventory,Cloud & AI Related,na,N/A,Endpoint inventory — not AegisGate scope
UEM-05,Universal Endpoint Management - UEM,Endpoint Management,Cloud & AI Related,na,N/A,Endpoint management — not AegisGate scope
UEM-06,Universal Endpoint Management - UEM,Automatic Lock Screen,Cloud & AI Related,na,N/A,Automatic lock screen — endpoint OS feature
UEM-07,Universal Endpoint Management - UEM,Operating Systems,Cloud & AI Related,na,N/A,Operating systems on endpoints — not AegisGate scope
UEM-08,Universal Endpoint Management - UEM,Storage Encryption,Cloud & AI Related,na,N/A,Storage encryption on endpoints — OS feature
UEM-09,Universal Endpoint Management - UEM,Anti-Malware Detection and Prevention,Cloud & AI Related,na,N/A,Anti-malware on endpoints — endpoint security tool
UEM-10,Universal Endpoint Management - UEM,Software Firewall,Cloud & AI Related,na,N/A,Software firewall — endpoint OS feature
UEM-11,Universal Endpoint Management - UEM,Data Loss Prevention,Cloud & AI Related,partial,response_guard; scanner,"Data loss prevention: response guard (pkg/response/guard.go) prevents PII/secret exfiltration via AI responses (pkg/response/pii_scanner.go, pkg/response/secret_detector.go); scanner (pkg/scanner/scanner.go — 216 patterns) detects injection attacks; redactor (pkg/response/redactor.go) removes sensitive content."
UEM-12,Universal Endpoint Management - UEM,Remote Locate,Cloud & AI Related,na,N/A,Remote locate — endpoint management feature
UEM-13,Universal Endpoint Management - UEM,Remote Wipe,Cloud & AI Related,na,N/A,Remote wipe — endpoint management feature
UEM-14,Universal Endpoint Management - UEM,Third-Party Endpoint Security Posture,Cloud & AI Related,na,N/A,Third-party endpoint security posture — endpoint management tool
